hour_of_day,avg_temp
0,23.933235294117647
1,24.485999999999997
2,23.880975609756092
3,26.032200000000003
4,24.56452380952381
5,26.21424242424242
6,23.834193548387095
7,24.46884615384616
8,24.25902439024391
9,23.494722222222222
10,25.348205128205134
11,24.51027777777778
12,24.012340425531914
13,26.47547619047619
14,25.40655172413793
15,26.10775
16,24.19543478260869
17,23.37222222222222
18,24.976000000000006
19,25.204249999999995
20,25.32913043478261
21,24.78416666666667
22,26.75447368421053
23,23.719285714285714
